assignment_id,assignment_name,subject,class_id,class_name,teacher_id,teacher_name,student_id,student_name,due_date,planning_level,monitoring_level,evaluation_level,evidence
A002,Assignment 2,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S02,Student B,2026-08-15,Accomplished,Emerging,Emerging,Student B showed accomplished planning behaviour on assignment 2.
A002,Assignment 2,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S03,Student C,2026-08-15,Proficient,Emerging,Accomplished,Student C showed proficient planning behaviour on assignment 2.
A002,Assignment 2,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S04,Student D,2026-08-15,Emerging,Proficient,Not Observed,Student D showed emerging planning behaviour on assignment 2.
A002,Assignment 2,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S05,Student E,2026-08-15,Not Observed,Not Observed,Not Observed,Student E showed not observed planning behaviour on assignment 2.
A002,Assignment 2,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S06,Student F,2026-08-15,Not Observed,Not Observed,Not Observed,Student F showed not observed planning behaviour on assignment 2.
A002,Assignment 2,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S07,Student G,2026-08-15,Proficient,Emerging,Emerging,Student G showed proficient planning behaviour on assignment 2.
A002,Assignment 2,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S08,Student H,2026-08-15,Not Observed,Not Observed,Accomplished,Student H showed not observed planning behaviour on assignment 2.
A002,Assignment 2,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S09,Student I,2026-08-15,Proficient,Emerging,Not Observed,Student I showed proficient planning behaviour on assignment 2.
A002,Assignment 2,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S10,Student J,2026-08-15,Proficient,Not Observed,Emerging,Student J showed proficient planning behaviour on assignment 2.
A003,Assignment 3,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S01,Student A,2026-08-29,Accomplished,Proficient,Proficient,Student A showed accomplished planning behaviour on assignment 3.
A003,Assignment 3,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S02,Student B,2026-08-29,Proficient,Accomplished,Proficient,Student B showed proficient planning behaviour on assignment 3.
A003,Assignment 3,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S03,Student C,2026-08-29,Not Observed,Not Observed,Emerging,Student C showed not observed planning behaviour on assignment 3.
A003,Assignment 3,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S04,Student D,2026-08-29,Not Observed,Not Observed,Accomplished,Student D showed not observed planning behaviour on assignment 3.
A003,Assignment 3,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S05,Student E,2026-08-29,Accomplished,Emerging,Proficient,Student E showed accomplished planning behaviour on assignment 3.
A003,Assignment 3,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S06,Student F,2026-08-29,Emerging,Accomplished,Emerging,Student F showed emerging planning behaviour on assignment 3.
A003,Assignment 3,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S07,Student G,2026-08-29,Not Observed,Not Observed,Proficient,Student G showed not observed planning behaviour on assignment 3.
A003,Assignment 3,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S08,Student H,2026-08-29,Not Observed,Proficient,Accomplished,Student H showed not observed planning behaviour on assignment 3.
A003,Assignment 3,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S09,Student I,2026-08-29,Emerging,Not Observed,Accomplished,Student I showed emerging planning behaviour on assignment 3.
A003,Assignment 3,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S10,Student J,2026-08-29,Emerging,Not Observed,Not Observed,Student J showed emerging planning behaviour on assignment 3.
A004,Assignment 4,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S01,Student A,2026-09-12,Not Observed,Proficient,Accomplished,Student A showed not observed planning behaviour on assignment 4.
A004,Assignment 4,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S02,Student B,2026-09-12,Emerging,Not Observed,Emerging,Student B showed emerging planning behaviour on assignment 4.
A004,Assignment 4,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S03,Student C,2026-09-12,Accomplished,Proficient,Accomplished,Student C showed accomplished planning behaviour on assignment 4.
A004,Assignment 4,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S04,Student D,2026-09-12,Accomplished,Not Observed,Accomplished,Student D showed accomplished planning behaviour on assignment 4.
A004,Assignment 4,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S05,Student E,2026-09-12,Proficient,Proficient,Emerging,Student E showed proficient planning behaviour on assignment 4.
A004,Assignment 4,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S06,Student F,2026-09-12,Proficient,Not Observed,Emerging,Student F showed proficient planning behaviour on assignment 4.
A004,Assignment 4,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S07,Student G,2026-09-12,Emerging,Accomplished,Accomplished,Student G showed emerging planning behaviour on assignment 4.
A004,Assignment 4,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S08,Student H,2026-09-12,Emerging,Proficient,Not Observed,Student H showed emerging planning behaviour on assignment 4.
A004,Assignment 4,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S09,Student I,2026-09-12,Accomplished,Accomplished,Emerging,Student I showed accomplished planning behaviour on assignment 4.
A004,Assignment 4,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S10,Student J,2026-09-12,Proficient,Proficient,Not Observed,Student J showed proficient planning behaviour on assignment 4.
A005,Assignment 1,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S01,Student A,2026-08-01,Proficient,Emerging,Proficient,Student A showed proficient planning behaviour on assignment 1.
A005,Assignment 1,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S02,Student B,2026-08-01,Emerging,Not Observed,Not Observed,Student B showed emerging planning behaviour on assignment 1.
A005,Assignment 1,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S03,Student C,2026-08-01,Not Observed,Accomplished,Proficient,Student C showed not observed planning behaviour on assignment 1.
A005,Assignment 1,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S04,Student D,2026-08-01,Proficient,Not Observed,Not Observed,Student D showed proficient planning behaviour on assignment 1.
A005,Assignment 1,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S05,Student E,2026-08-01,Proficient,Accomplished,Not Observed,Student E showed proficient planning behaviour on assignment 1.
A005,Assignment 1,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S06,Student F,2026-08-01,Emerging,Not Observed,Proficient,Student F showed emerging planning behaviour on assignment 1.
A005,Assignment 1,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S07,Student G,2026-08-01,Proficient,Not Observed,Emerging,Student G showed proficient planning behaviour on assignment 1.
A005,Assignment 1,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S08,Student H,2026-08-01,Emerging,Not Observed,Proficient,Student H showed emerging planning behaviour on assignment 1.
A005,Assignment 1,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S09,Student I,2026-08-01,Emerging,Not Observed,Emerging,Student I showed emerging planning behaviour on assignment 1.
A005,Assignment 1,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S10,Student J,2026-08-01,Proficient,Not Observed,Not Observed,Student J showed proficient planning behaviour on assignment 1.
A006,Assignment 2,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S01,Student A,2026-08-15,Accomplished,Proficient,Emerging,Student A showed accomplished planning behaviour on assignment 2.
A006,Assignment 2,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S02,Student B,2026-08-15,Emerging,Not Observed,Not Observed,Student B showed emerging planning behaviour on assignment 2.
A006,Assignment 2,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S03,Student C,2026-08-15,Not Observed,Emerging,Not Observed,Student C showed not observed planning behaviour on assignment 2.
A006,Assignment 2,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S04,Student D,2026-08-15,Not Observed,Not Observed,Proficient,Student D showed not observed planning behaviour on assignment 2.
A006,Assignment 2,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S05,Student E,2026-08-15,Not Observed,Accomplished,Accomplished,Student E showed not observed planning behaviour on assignment 2.
A006,Assignment 2,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S06,Student F,2026-08-15,Not Observed,Not Observed,Proficient,Student F showed not observed planning behaviour on assignment 2.
A006,Assignment 2,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S07,Student G,2026-08-15,Not Observed,Not Observed,Accomplished,Student G showed not observed planning behaviour on assignment 2.
A006,Assignment 2,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S08,Student H,2026-08-15,Emerging,Emerging,Proficient,Student H showed emerging planning behaviour on assignment 2.
A006,Assignment 2,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S09,Student I,2026-08-15,Proficient,Not Observed,Not Observed,Student I showed proficient planning behaviour on assignment 2.
A006,Assignment 2,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S10,Student J,2026-08-15,Emerging,Emerging,Emerging,Student J showed emerging planning behaviour on assignment 2.
A007,Assignment 3,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S01,Student A,2026-08-29,Proficient,Proficient,Accomplished,Student A showed proficient planning behaviour on assignment 3.
A007,Assignment 3,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S02,Student B,2026-08-29,Not Observed,Emerging,Emerging,Student B showed not observed planning behaviour on assignment 3.
A007,Assignment 3,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S03,Student C,2026-08-29,Accomplished,Not Observed,Not Observed,Student C showed accomplished planning behaviour on assignment 3.
A007,Assignment 3,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S04,Student D,2026-08-29,Emerging,Emerging,Not Observed,Student D showed emerging planning behaviour on assignment 3.
A007,Assignment 3,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S05,Student E,2026-08-29,Not Observed,Accomplished,Emerging,Student E showed not observed planning behaviour on assignment 3.
A007,Assignment 3,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S06,Student F,2026-08-29,Accomplished,Proficient,Not Observed,Student F showed accomplished planning behaviour on assignment 3.
A007,Assignment 3,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S07,Student G,2026-08-29,Accomplished,Accomplished,Accomplished,Student G showed accomplished planning behaviour on assignment 3.
A007,Assignment 3,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S08,Student H,2026-08-29,Accomplished,Accomplished,Not Observed,Student H showed accomplished planning behaviour on assignment 3.
A007,Assignment 3,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S09,Student I,2026-08-29,Emerging,Not Observed,Emerging,Student I showed emerging planning behaviour on assignment 3.
A007,Assignment 3,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S10,Student J,2026-08-29,Not Observed,Emerging,Accomplished,Student J showed not observed planning behaviour on assignment 3.
A008,Assignment 4,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S01,Student A,2026-09-12,Emerging,Accomplished,Emerging,Student A showed emerging planning behaviour on assignment 4.
A008,Assignment 4,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S02,Student B,2026-09-12,Emerging,Accomplished,Accomplished,Student B showed emerging planning behaviour on assignment 4.
A008,Assignment 4,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S03,Student C,2026-09-12,Proficient,Proficient,Not Observed,Student C showed proficient planning behaviour on assignment 4.
A008,Assignment 4,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S04,Student D,2026-09-12,Emerging,Accomplished,Proficient,Student D showed emerging planning behaviour on assignment 4.
A008,Assignment 4,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S05,Student E,2026-09-12,Proficient,Accomplished,Not Observed,Student E showed proficient planning behaviour on assignment 4.
A008,Assignment 4,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S06,Student F,2026-09-12,Proficient,Proficient,Accomplished,Student F showed proficient planning behaviour on assignment 4.
A008,Assignment 4,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S07,Student G,2026-09-12,Not Observed,Accomplished,Not Observed,Student G showed not observed planning behaviour on assignment 4.
A008,Assignment 4,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S08,Student H,2026-09-12,Not Observed,Proficient,Proficient,Student H showed not observed planning behaviour on assignment 4.
A008,Assignment 4,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S09,Student I,2026-09-12,Emerging,Not Observed,Accomplished,Student I showed emerging planning behaviour on assignment 4.
A008,Assignment 4,Secondary 3 Chemistry,C3B,Class 3B,T1,Ms. Tan,S10,Student J,2026-09-12,Emerging,Proficient,Proficient,Student J showed emerging planning behaviour on assignment 4.
A009,Assignment 1,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S01,Student A,2026-08-01,Emerging,Emerging,Emerging,Student A showed emerging planning behaviour on assignment 1.
A009,Assignment 1,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S02,Student B,2026-08-01,Accomplished,Not Observed,Proficient,Student B showed accomplished planning behaviour on assignment 1.
A009,Assignment 1,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S03,Student C,2026-08-01,Not Observed,Not Observed,Emerging,Student C showed not observed planning behaviour on assignment 1.
A009,Assignment 1,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S04,Student D,2026-08-01,Not Observed,Not Observed,Proficient,Student D showed not observed planning behaviour on assignment 1.
A009,Assignment 1,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S05,Student E,2026-08-01,Not Observed,Emerging,Accomplished,Student E showed not observed planning behaviour on assignment 1.
A009,Assignment 1,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S06,Student F,2026-08-01,Accomplished,Not Observed,Not Observed,Student F showed accomplished planning behaviour on assignment 1.
A009,Assignment 1,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S07,Student G,2026-08-01,Not Observed,Accomplished,Proficient,Student G showed not observed planning behaviour on assignment 1.
A009,Assignment 1,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S08,Student H,2026-08-01,Proficient,Not Observed,Not Observed,Student H showed proficient planning behaviour on assignment 1.
A009,Assignment 1,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S09,Student I,2026-08-01,Proficient,Proficient,Emerging,Student I showed proficient planning behaviour on assignment 1.
A009,Assignment 1,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S10,Student J,2026-08-01,Accomplished,Emerging,Not Observed,Student J showed accomplished planning behaviour on assignment 1.
A010,Assignment 2,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S01,Student A,2026-08-15,Proficient,Not Observed,Proficient,Student A showed proficient planning behaviour on assignment 2.
A010,Assignment 2,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S02,Student B,2026-08-15,Accomplished,Not Observed,Not Observed,Student B showed accomplished planning behaviour on assignment 2.
A010,Assignment 2,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S03,Student C,2026-08-15,Not Observed,Emerging,Not Observed,Student C showed not observed planning behaviour on assignment 2.
A010,Assignment 2,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S04,Student D,2026-08-15,Emerging,Proficient,Not Observed,Student D showed emerging planning behaviour on assignment 2.
A010,Assignment 2,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S05,Student E,2026-08-15,Proficient,Not Observed,Emerging,Student E showed proficient planning behaviour on assignment 2.
A010,Assignment 2,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S06,Student F,2026-08-15,Accomplished,Accomplished,Not Observed,Student F showed accomplished planning behaviour on assignment 2.
A010,Assignment 2,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S07,Student G,2026-08-15,Emerging,Not Observed,Not Observed,Student G showed emerging planning behaviour on assignment 2.
A010,Assignment 2,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S08,Student H,2026-08-15,Proficient,Proficient,Not Observed,Student H showed proficient planning behaviour on assignment 2.
A010,Assignment 2,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S09,Student I,2026-08-15,Proficient,Emerging,Emerging,Student I showed proficient planning behaviour on assignment 2.
A010,Assignment 2,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S10,Student J,2026-08-15,Not Observed,Not Observed,Accomplished,Student J showed not observed planning behaviour on assignment 2.
A011,Assignment 3,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S01,Student A,2026-08-29,Accomplished,Proficient,Accomplished,Student A showed accomplished planning behaviour on assignment 3.
A011,Assignment 3,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S02,Student B,2026-08-29,Proficient,Not Observed,Not Observed,Student B showed proficient planning behaviour on assignment 3.
A011,Assignment 3,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S03,Student C,2026-08-29,Emerging,Accomplished,Accomplished,Student C showed emerging planning behaviour on assignment 3.
A011,Assignment 3,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S04,Student D,2026-08-29,Accomplished,Accomplished,Not Observed,Student D showed accomplished planning behaviour on assignment 3.
A011,Assignment 3,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S05,Student E,2026-08-29,Not Observed,Not Observed,Accomplished,Student E showed not observed planning behaviour on assignment 3.
A011,Assignment 3,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S06,Student F,2026-08-29,Accomplished,Emerging,Proficient,Student F showed accomplished planning behaviour on assignment 3.
A011,Assignment 3,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S07,Student G,2026-08-29,Not Observed,Accomplished,Accomplished,Student G showed not observed planning behaviour on assignment 3.
A011,Assignment 3,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S08,Student H,2026-08-29,Accomplished,Accomplished,Accomplished,Student H showed accomplished planning behaviour on assignment 3.
A011,Assignment 3,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S09,Student I,2026-08-29,Not Observed,Proficient,Emerging,Student I showed not observed planning behaviour on assignment 3.
A011,Assignment 3,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S10,Student J,2026-08-29,Accomplished,Accomplished,Accomplished,Student J showed accomplished planning behaviour on assignment 3.
A012,Assignment 4,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S01,Student A,2026-09-12,Accomplished,Emerging,Accomplished,Student A showed accomplished planning behaviour on assignment 4.
A012,Assignment 4,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S02,Student B,2026-09-12,Not Observed,Accomplished,Accomplished,Student B showed not observed planning behaviour on assignment 4.
A012,Assignment 4,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S03,Student C,2026-09-12,Emerging,Accomplished,Emerging,Student C showed emerging planning behaviour on assignment 4.
A012,Assignment 4,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S04,Student D,2026-09-12,Emerging,Accomplished,Emerging,Student D showed emerging planning behaviour on assignment 4.
A012,Assignment 4,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S05,Student E,2026-09-12,Not Observed,Not Observed,Emerging,Student E showed not observed planning behaviour on assignment 4.
A012,Assignment 4,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S06,Student F,2026-09-12,Accomplished,Accomplished,Emerging,Student F showed accomplished planning behaviour on assignment 4.
A012,Assignment 4,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S07,Student G,2026-09-12,Proficient,Emerging,Accomplished,Student G showed proficient planning behaviour on assignment 4.
A012,Assignment 4,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S08,Student H,2026-09-12,Proficient,Accomplished,Not Observed,Student H showed proficient planning behaviour on assignment 4.
A012,Assignment 4,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S09,Student I,2026-09-12,Accomplished,Not Observed,Accomplished,Student I showed accomplished planning behaviour on assignment 4.
A012,Assignment 4,Secondary 3 Chemistry,C4A,Class 4A,T1,Ms. Tan,S10,Student J,2026-09-12,Emerging,Not Observed,Emerging,Student J showed emerging planning behaviour on assignment 4.
A013,Assignment 1,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S01,Student A,2026-08-01,Proficient,Not Observed,Emerging,Student A showed proficient planning behaviour on assignment 1.
A013,Assignment 1,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S02,Student B,2026-08-01,Emerging,Not Observed,Emerging,Student B showed emerging planning behaviour on assignment 1.
A013,Assignment 1,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S03,Student C,2026-08-01,Not Observed,Proficient,Not Observed,Student C showed not observed planning behaviour on assignment 1.
A013,Assignment 1,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S04,Student D,2026-08-01,Accomplished,Emerging,Proficient,Student D showed accomplished planning behaviour on assignment 1.
A013,Assignment 1,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S05,Student E,2026-08-01,Proficient,Emerging,Not Observed,Student E showed proficient planning behaviour on assignment 1.
A013,Assignment 1,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S06,Student F,2026-08-01,Not Observed,Emerging,Not Observed,Student F showed not observed planning behaviour on assignment 1.
A013,Assignment 1,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S07,Student G,2026-08-01,Not Observed,Proficient,Proficient,Student G showed not observed planning behaviour on assignment 1.
A013,Assignment 1,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S08,Student H,2026-08-01,Not Observed,Not Observed,Emerging,Student H showed not observed planning behaviour on assignment 1.
A013,Assignment 1,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S09,Student I,2026-08-01,Emerging,Not Observed,Not Observed,Student I showed emerging planning behaviour on assignment 1.
A013,Assignment 1,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S10,Student J,2026-08-01,Emerging,Accomplished,Emerging,Student J showed emerging planning behaviour on assignment 1.
A014,Assignment 2,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S01,Student A,2026-08-15,Accomplished,Emerging,Not Observed,Student A showed accomplished planning behaviour on assignment 2.
A014,Assignment 2,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S02,Student B,2026-08-15,Emerging,Not Observed,Not Observed,Student B showed emerging planning behaviour on assignment 2.
A014,Assignment 2,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S03,Student C,2026-08-15,Emerging,Emerging,Proficient,Student C showed emerging planning behaviour on assignment 2.
A014,Assignment 2,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S04,Student D,2026-08-15,Emerging,Emerging,Not Observed,Student D showed emerging planning behaviour on assignment 2.
A014,Assignment 2,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S05,Student E,2026-08-15,Emerging,Accomplished,Proficient,Student E showed emerging planning behaviour on assignment 2.
A014,Assignment 2,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S06,Student F,2026-08-15,Not Observed,Not Observed,Emerging,Student F showed not observed planning behaviour on assignment 2.
A014,Assignment 2,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S07,Student G,2026-08-15,Proficient,Not Observed,Proficient,Student G showed proficient planning behaviour on assignment 2.
A014,Assignment 2,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S08,Student H,2026-08-15,Proficient,Proficient,Not Observed,Student H showed proficient planning behaviour on assignment 2.
A014,Assignment 2,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S09,Student I,2026-08-15,Not Observed,Not Observed,Not Observed,Student I showed not observed planning behaviour on assignment 2.
A014,Assignment 2,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S10,Student J,2026-08-15,Emerging,Accomplished,Not Observed,Student J showed emerging planning behaviour on assignment 2.
A015,Assignment 3,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S01,Student A,2026-08-29,Emerging,Proficient,Not Observed,Student A showed emerging planning behaviour on assignment 3.
A015,Assignment 3,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S02,Student B,2026-08-29,Proficient,Emerging,Not Observed,Student B showed proficient planning behaviour on assignment 3.
A015,Assignment 3,Secondary 3 Physics,C3A,Class 3A,T1,Ms. Tan,S03,Student C,2026-08-29,Proficient,Not Observed,Proficient,Student C showed proficient planning behaviour on assignment 3.
